Elon Musk;5001;Level_A
Bill Gates;5002;Level_B
Jeff Bezos;5003;Level_C
Mark Zuckerberg;5004;Level_A
Warren Buffett;5005;Level_B
Larry Page;5006;Level_C
Sergey Brin;5007;Level_A
Tim Cook;5008;Level_B
Satya Nadella;5009;Level_C
Jack Ma;5010;Level_A
Richard Branson;5011;Level_B
Michael Dell;5012;Level_C
Steve Jobs;5013;Level_A
Sheryl Sandberg;5014;Level_B
Susan Wojcicki;5015;Level_C
Ray Dalio;5016;Level_A
George Soros;5017;Level_B
Carl Icahn;5018;Level_C
Paul Allen;5019;Level_A
Michael Bloomberg;5020;Level_B
Ingvar Kamprad;5021;Level_C
Masayoshi Son;5022;Level_A
Mukesh Ambani;5023;Level_B
Li Ka‑shing;5024;Level_C
Carlos Slim;5025;Level_A
Bernard Arnault;5026;Level_B
Jack Dorsey;5027;Level_C
Brian Chesky;5028;Level_A
Travis Kalanick;5029;Level_B
Dara Khosrowshahi;5030;Level_C
